Client,Products,Target
Ann     ,Bread Cheese Vodka,positive
Emma    ,Salo Cigar Cheese,positive
Alla    ,Onion Salt Pepper,negative
Hilary  ,Cigar Iogurt Water,positive
Alla    ,Eris Beer Cheese,positive
Dorophy ,Onion Salt Salo,negative
Chloe   ,Sweet Onion Cheese,positive
Emma    ,Beer Pepper Iogurt,positive
Gina    ,Milk Salt Sugar,positive
Alla    ,Salt Cheese Salo,positive
Dorophy ,Fries Sugar Bread,negative
Gina    ,Salt Sugar Bread,negative
Ira     ,Pepper Milk Kefir,positive
Sophy   ,Bananas Milk Beer,positive
Ira     ,Eris Beer Iogurt,positive
Ira     ,Sweet Iogurt Eris,positive
Gina    ,Cigar Sweet Bananas,negative
Gina    ,Milk Fries Bread,positive
Filona  ,Salt Kefir Cream,positive
Emma    ,Vine Kefir Sweet,positive
Ira     ,Salo Eris Fries,negative
Filona  ,Abritos Vodka Pepper,negative
Emma    ,Cream Sweet Pepper,positive
Chloe   ,Vine Sweet Iogurt,positive
Dorophy ,Pepper Cheese Vodka,positive
Ira     ,Onion Kefir Cheese,positive
Alla    ,Cigar Fries Salo,negative
Hilary  ,Pepper Vodka Cream,positive
Hilary  ,Abritos Cheese Eris,positive
Ira     ,Vine Fries Abritos,negative
Filona  ,Abritos Vine Cream,positive
Hilary  ,Iogurt Abritos Vodka,positive
Gina    ,Sweet Kefir Salo,positive
Dorophy ,Beer Eris Salt,negative
Sophy   ,Iogurt Water Eris,positive
Gina    ,Pepper Sweet Beer,negative
Hilary  ,Bread Bananas Sweet,negative
Hilary  ,Cream Cheese Eris,positive
Sophy   ,Milk Onion Sweet,positive
Ira     ,Bananas Fries Milk,positive
Gina    ,Vine Salt Pepper,negative
Hilary  ,Eris Salt Kefir,positive
Alla    ,Cheese Salt Vine,positive
Filona  ,Salt Sugar Pepper,negative
Gina    ,Vodka Kefir Cream,positive
Sophy   ,Beer Kefir Onion,positive
Dorophy ,Sweet Milk Pepper,positive
Emma    ,Sugar Bananas Kefir,positive
Dorophy ,Bananas Sweet Onion,negative
Ira     ,Milk Cream Bread,positive
Hilary  ,Onion Vine Pepper,negative
Filona  ,Pepper Vine Eris,negative
Ann     ,Pepper Vodka Bread,negative
Filona  ,Abritos Salo Water,negative
Emma    ,Milk Beer Fries,positive
Ira     ,Pepper Vine Iogurt,positive
Chloe   ,Kefir Eris Milk,positive
Hilary  ,Sugar Vine Onion,negative
Chloe   ,Water Vodka Milk,positive
Filona  ,Water Milk Sweet,positive
Hilary  ,Abritos Salo Vine,negative
Gina    ,Sweet Eris Abritos,negative
Gina    ,Pepper Bread Milk,positive
Sophy   ,Abritos Vine Sugar,negative
Sophy   ,Iogurt Pepper Sweet,positive
Alla    ,Salo Cheese Bread,positive
Ira     ,Salo Milk Cheese,positive
Hilary  ,Bread Bananas Onion,negative
Chloe   ,Milk Cream Salo,positive
Ann     ,Vodka Bananas Bread,negative
Gina    ,Vodka Eris Cigar,negative
Sophy   ,Salt Onion Iogurt,positive
Filona  ,Vodka Salt Sweet,negative
Ira     ,Sweet Cream Vodka,positive
Dorophy ,Abritos Bananas Cigar,negative
Hilary  ,Sugar Eris Bananas,negative
Ira     ,Beer Kefir Sugar,positive
Emma    ,Bread Beer Cream,positive
Filona  ,Fries Milk Vodka,positive
Ira     ,Eris Vodka Fries,negative
Chloe   ,Cream Salo Abritos,positive
Sophy   ,Salt Vine Kefir,positive
Emma    ,Salt Bread Milk,positive
Hilary  ,Fries Water Eris,negative
Hilary  ,Cream Bread Bananas,positive
Alla    ,Eris Salo Abritos,negative
Filona  ,Iogurt Sugar Kefir,positive
Hilary  ,Water Kefir Bananas,positive
Emma    ,Milk Onion Beer,positive
Chloe   ,Fries Water Bread,negative
Emma    ,Cheese Abritos Iogurt,positive
Ann     ,Vodka Bananas Cream,positive
Chloe   ,Salt Kefir Pepper,positive
Ann     ,Beer Abritos Pepper,negative
Alla    ,Cheese Sweet Pepper,positive
Ira     ,Fries Salo Water,negative
Alla    ,Kefir Bread Sweet,positive
Alla    ,Vodka Bread Sweet,negative
Alla    ,Cigar Sugar Salt,negative
Filona  ,Pepper Onion Abritos,negative
Gina    ,Eris Water Pepper,negative
Alla    ,Sugar Bread Kefir,positive
Hilary  ,Eris Pepper Fries,negative
Sophy   ,Salo Eris Sugar,negative
Gina    ,Cigar Water Salt,negative
Gina    ,Iogurt Cream Cigar,positive
Gina    ,Cream Sugar Vine,positive
Ann     ,Bananas Onion Kefir,positive
Hilary  ,Salo Fries Kefir,positive
Emma    ,Eris Pepper Cigar,negative
Filona  ,Vodka Salo Cheese,positive
Sophy   ,Salt Iogurt Eris,positive
Ira     ,Iogurt Vine Bananas,positive
Ira     ,Abritos Kefir Sweet,positive
Alla    ,Sugar Cheese Beer,positive
Ira     ,Milk Salo Eris,positive
Emma    ,Cream Sugar Sweet,positive
Hilary  ,Abritos Cream Cigar,positive
Chloe   ,Water Bread Sweet,negative
Ira     ,Abritos Iogurt Pepper,positive
Emma    ,Kefir Water Milk,positive
Chloe   ,Pepper Bread Sweet,negative
Chloe   ,Cigar Beer Kefir,positive
Ira     ,Fries Onion Eris,negative
Gina    ,Milk Cheese Abritos,positive
Gina    ,Vodka Eris Kefir,positive
Sophy   ,Eris Bananas Vine,negative
Gina    ,Cream Cigar Iogurt,positive
Ira     ,Cream Eris Cheese,positive
Alla    ,Beer Salo Salt,negative
Gina    ,Abritos Bread Kefir,positive
Sophy   ,Salt Pepper Vodka,negative
Hilary  ,Fries Salt Cigar,negative
Ann     ,Vine Beer Sugar,negative
Emma    ,Iogurt Cream Salo,positive
Emma    ,Salo Bananas Onion,negative
Gina    ,Cream Vodka Water,positive
Sophy   ,Eris Vodka Onion,negative
Gina    ,Eris Vodka Fries,negative
Emma    ,Onion Sugar Fries,negative
Hilary  ,Bread Cream Sugar,positive
Ira     ,Salt Milk Cheese,positive
Hilary  ,Vodka Water Cheese,positive
Dorophy ,Kefir Iogurt Eris,positive
Emma    ,Milk Cheese Iogurt,positive
Sophy   ,Fries Eris Vodka,negative
Hilary  ,Cream Iogurt Pepper,positive
Dorophy ,Salt Salo Vine,negative
Emma    ,Kefir Cream Bread,positive
Ira     ,Cream Kefir Water,positive
Ira     ,Salo Fries Beer,negative
Gina    ,Vine Iogurt Water,positive
Dorophy ,Sugar Vine Milk,positive
Gina    ,Beer Kefir Sugar,positive
Dorophy ,Sugar Sweet Pepper,negative
Sophy   ,Water Beer Bananas,negative
Filona  ,Milk Onion Eris,positive
Ann     ,Cream Pepper Vine,positive
Ira     ,Eris Cheese Fries,positive
Filona  ,Sugar Vine Vodka,negative
Filona  ,Vine Onion Sugar,negative
Chloe   ,Milk Bread Salt,positive
Hilary  ,Bananas Abritos Fries,negative
Hilary  ,Beer Vine Eris,negative
Sophy   ,Cheese Bananas Fries,positive
Emma    ,Onion Vodka Bananas,negative
Dorophy ,Onion Salt Bananas,negative
Dorophy ,Salt Cheese Iogurt,positive
Ira     ,Cigar Abritos Milk,positive
Sophy   ,Water Cream Abritos,positive
Ira     ,Sugar Vodka Cigar,negative
Alla    ,Abritos Sugar Kefir,positive
Ann     ,Eris Sugar Milk,positive
Hilary  ,Pepper Salo Vodka,negative
Gina    ,Cream Pepper Vodka,positive
Ira     ,Sugar Vodka Pepper,negative
Emma    ,Bread Cream Sugar,positive
Filona  ,Salo Water Bread,negative
Dorophy ,Pepper Eris Cheese,positive
Hilary  ,Kefir Milk Sweet,positive
Chloe   ,Salo Vine Kefir,positive
Ira     ,Eris Salt Beer,negative
Ann     ,Vodka Onion Salo,negative
Emma    ,Sugar Fries Salo,negative
Emma    ,Iogurt Pepper Sweet,positive
Sophy   ,Sweet Water Sugar,negative
Dorophy ,Onion Salt Sugar,negative
Emma    ,Cigar Iogurt Pepper,positive
Dorophy ,Bananas Sugar Vine,negative
Sophy   ,Pepper Cigar Bread,negative
Ann     ,Pepper Sugar Salo,negative
Emma    ,Cream Kefir Sugar,positive
Ann     ,Milk Cream Cigar,positive
Gina    ,Fries Eris Milk,positive
Emma    ,Milk Bread Kefir,positive
Ira     ,Cheese Bananas Cream,positive
Alla    ,Beer Eris Bananas,negative
Ira     ,Kefir Cigar Water,positive
Chloe   ,Cigar Salt Kefir,positive
Sophy   ,Cigar Sweet Fries,negative
Ann     ,Cream Vodka Iogurt,positive
Ann     ,Salo Vodka Fries,negative
Dorophy ,Milk Water Bread,positive
Ann     ,Sweet Milk Vodka,positive
Hilary  ,Kefir Cheese Bread,positive
Hilary  ,Vodka Pepper Iogurt,positive
Hilary  ,Cigar Vine Vodka,negative
Alla    ,Salo Bananas Sugar,negative
Alla    ,Salo Salt Cream,positive
Ann     ,Cigar Abritos Milk,positive
Hilary  ,Onion Salo Cream,positive
Emma    ,Eris Cheese Fries,positive
Sophy   ,Kefir Water Bread,positive
Filona  ,Salt Iogurt Pepper,positive
Emma    ,Cheese Vine Cream,positive
Ira     ,Milk Salt Onion,positive
Ann     ,Bananas Cheese Salo,positive
Ann     ,Sweet Beer Cigar,negative
Ira     ,Vodka Cheese Cream,positive
Hilary  ,Vodka Milk Onion,positive
Alla    ,Vine Salo Beer,negative
Sophy   ,Sugar Bananas Cheese,positive
Sophy   ,Pepper Sugar Kefir,positive
Hilary  ,Sugar Water Iogurt,positive
Sophy   ,Water Fries Kefir,positive
Alla    ,Beer Onion Bananas,negative
Ira     ,Cigar Vine Cheese,positive
Ann     ,Beer Milk Cream,positive
Dorophy ,Fries Vodka Abritos,negative
Ira     ,Iogurt Milk Sweet,positive
Dorophy ,Abritos Salt Kefir,positive
Hilary  ,Beer Vine Salt,negative
Sophy   ,Milk Vodka Pepper,positive
Gina    ,Bread Vine Pepper,negative
Ann     ,Milk Iogurt Abritos,positive
Gina    ,Vine Cream Kefir,positive
Alla    ,Salt Cigar Bananas,negative
Hilary  ,Bread Milk Cigar,positive
Ira     ,Salt Cigar Milk,positive
Filona  ,Salt Iogurt Vine,positive
Sophy   ,Sugar Bread Vodka,negative
Ira     ,Cigar Sweet Vine,negative
Ira     ,Water Kefir Cigar,positive
Emma    ,Vodka Eris Kefir,positive
Alla    ,Beer Vine Eris,negative
Chloe   ,Cream Abritos Milk,positive
Filona  ,Salt Salo Cream,positive
Chloe   ,Pepper Salo Vine,negative
Gina    ,Sweet Milk Cigar,positive
Alla    ,Onion Fries Milk,positive
Chloe   ,Cigar Cream Kefir,positive
Alla    ,Cheese Sugar Kefir,positive
Gina    ,Cream Sugar Vodka,positive
Ira     ,Bread Vine Pepper,negative
Gina    ,Iogurt Cheese Cream,positive
Hilary  ,Sweet Bread Onion,negative
Emma    ,Pepper Cheese Cream,positive
Hilary  ,Eris Bananas Cream,positive
Hilary  ,Bread Salt Salo,negative
Dorophy ,Eris Kefir Cheese,positive
Gina    ,Salt Cream Sugar,positive
Emma    ,Iogurt Milk Beer,positive
Emma    ,Beer Salo Cigar,negative
Hilary  ,Fries Milk Vodka,positive
Sophy   ,Cream Pepper Fries,positive
Gina    ,Salt Vodka Kefir,positive
Hilary  ,Cream Vine Bread,positive
Chloe   ,Salt Kefir Cream,positive
Dorophy ,Onion Eris Abritos,negative
Ann     ,Salt Salo Bread,negative
Hilary  ,Sugar Bananas Cream,positive
Alla    ,Cigar Vine Eris,negative
Filona  ,Cheese Beer Iogurt,positive
Chloe   ,Sweet Cream Vine,positive
Chloe   ,Vine Eris Milk,positive
Emma    ,Onion Fries Cream,positive
Ira     ,Bread Water Kefir,positive
Alla    ,Vine Vodka Kefir,positive
Gina    ,Abritos Pepper Cigar,negative
Dorophy ,Bread Sweet Fries,negative
Hilary  ,Bananas Kefir Cheese,positive
Emma    ,Cheese Bananas Vodka,positive
Ann     ,Salo Onion Cheese,positive
Dorophy ,Kefir Bread Cigar,positive
Alla    ,Onion Vine Bananas,negative
Ann     ,Vine Abritos Salo,negative
Sophy   ,Milk Bread Cigar,positive
Dorophy ,Vine Kefir Bananas,positive
Sophy   ,Abritos Bread Salo,negative
Dorophy ,Salo Eris Kefir,positive
Ira     ,Vodka Salo Milk,positive
Ira     ,Bananas Iogurt Milk,positive
Chloe   ,Eris Vine Kefir,positive
Sophy   ,Sweet Iogurt Fries,positive
Ann     ,Bread Cream Vodka,positive
Ann     ,Iogurt Bread Kefir,positive
Ann     ,Eris Cream Milk,positive
Dorophy ,Cheese Sweet Eris,positive
Gina    ,Milk Bananas Onion,positive
Ann     ,Onion Salt Vodka,negative
Ann     ,Eris Cheese Iogurt,positive
Ira     ,Salt Fries Water,negative
Filona  ,Onion Sugar Cream,positive
Ira     ,Iogurt Pepper Beer,positive
Gina    ,Iogurt Eris Vine,positive
Emma    ,Cream Vodka Abritos,positive
Filona  ,Sugar Water Salo,negative
Ira     ,Kefir Salt Iogurt,positive
Ira     ,Milk Salo Vine,positive
Ann     ,Vodka Cigar Bananas,negative
Chloe   ,Water Sweet Abritos,negative
Chloe   ,Beer Sweet Onion,negative
Ann     ,Pepper Beer Bread,negative
Sophy   ,Milk Cream Abritos,positive
Gina    ,Vine Beer Cheese,positive
Sophy   ,Pepper Bread Beer,negative
Ira     ,Sweet Cream Cheese,positive
Gina    ,Water Vine Pepper,negative
Filona  ,Milk Kefir Sweet,positive
Ira     ,Beer Milk Sugar,positive
Sophy   ,Bread Salt Vine,negative
Ann     ,Cream Salo Iogurt,positive
Sophy   ,Eris Water Fries,negative
Ira     ,Bananas Kefir Sugar,positive
Chloe   ,Water Salo Kefir,positive
Hilary  ,Cream Onion Bread,positive
Ira     ,Sweet Bread Kefir,positive
Hilary  ,Pepper Cheese Cream,positive
Ann     ,Vodka Cream Beer,positive
Sophy   ,Milk Sugar Water,positive
Sophy   ,Bananas Sugar Salt,negative
Sophy   ,Bananas Abritos Sugar,negative
Alla    ,Sugar Abritos Vine,negative
Filona  ,Kefir Water Cream,positive
Sophy   ,Onion Bread Abritos,negative
Sophy   ,Salo Eris Cheese,positive
Dorophy ,Bread Vodka Cigar,negative
Chloe   ,Sugar Salo Vine,negative
Sophy   ,Kefir Pepper Abritos,positive
Dorophy ,Abritos Sugar Fries,negative
Chloe   ,Bananas Cheese Milk,positive
Sophy   ,Salt Cigar Cheese,positive
Hilary  ,Cream Sugar Iogurt,positive
Emma    ,Beer Fries Bread,negative
Chloe   ,Pepper Cheese Vine,positive
Chloe   ,Salo Vodka Kefir,positive
Filona  ,Iogurt Fries Water,positive
Sophy   ,Beer Vodka Pepper,negative
Emma    ,Fries Vine Abritos,negative
Ann     ,Kefir Milk Sweet,positive
Alla    ,Onion Pepper Vine,negative
Alla    ,Cigar Vine Kefir,positive
Dorophy ,Water Salo Sweet,negative
Ann     ,Iogurt Vodka Cream,positive
Ira     ,Sugar Cheese Pepper,positive
Ira     ,Eris Salt Kefir,positive
Dorophy ,Milk Fries Pepper,positive
Chloe   ,Bananas Sugar Beer,negative
Filona  ,Cream Cigar Onion,positive
Gina    ,Bread Salo Fries,negative
Gina    ,Eris Kefir Iogurt,positive
Chloe   ,Bananas Eris Bread,negative
Chloe   ,Cheese Water Salt,positive
Emma    ,Salo Salt Vine,negative
Chloe   ,Beer Bananas Kefir,positive
Ira     ,Kefir Salo Fries,positive
Ira     ,Bananas Kefir Onion,positive
Dorophy ,Cheese Beer Abritos,positive
Ira     ,Onion Salt Sugar,negative
Chloe   ,Cream Vodka Salo,positive
Dorophy ,Milk Fries Cream,positive
Ann     ,Milk Sugar Eris,positive
Gina    ,Onion Iogurt Bananas,positive
Dorophy ,Cheese Milk Iogurt,positive
Alla    ,Fries Abritos Iogurt,positive
Hilary  ,Cheese Water Onion,positive
Alla    ,Vine Water Cream,positive
Ira     ,Fries Kefir Salt,positive
Alla    ,Fries Cream Onion,positive
Filona  ,Salt Cream Cheese,positive
Dorophy ,Beer Sugar Vodka,negative
Ann     ,Salo Cream Kefir,positive
Hilary  ,Fries Bread Pepper,negative
Emma    ,Beer Milk Kefir,positive
Emma    ,Abritos Iogurt Water,positive
Emma    ,Cream Beer Kefir,positive
Emma    ,Vodka Bananas Sugar,negative
Ann     ,Pepper Beer Fries,negative
Sophy   ,Pepper Fries Iogurt,positive
Dorophy ,Pepper Cigar Vine,negative
Ira     ,Onion Sweet Fries,negative
Alla    ,Eris Bread Beer,negative
Hilary  ,Iogurt Cheese Fries,positive
Ira     ,Fries Vine Cigar,negative
Alla    ,Salo Abritos Vodka,negative
Dorophy ,Iogurt Sugar Beer,positive
Ann     ,Vodka Fries Salt,negative
Sophy   ,Salt Vodka Milk,positive
Emma    ,Milk Salt Beer,positive
Gina    ,Onion Sweet Eris,negative
Dorophy ,Bread Vodka Sweet,negative
Filona  ,Bread Eris Sugar,negative
Ann     ,Fries Beer Water,negative
Dorophy ,Iogurt Beer Onion,positive
Alla    ,Bananas Iogurt Pepper,positive
Alla    ,Vodka Pepper Salt,negative
Dorophy ,Sweet Salo Vine,negative
Gina    ,Onion Cigar Salt,negative
Chloe   ,Salo Cheese Vine,positive
Alla    ,Iogurt Milk Cheese,positive
Dorophy ,Bread Iogurt Vine,positive
Filona  ,Salt Milk Cheese,positive
Ann     ,Abritos Sugar Salt,negative
Gina    ,Fries Kefir Pepper,positive
Dorophy ,Water Kefir Sweet,positive
Ann     ,Cigar Salo Bananas,negative
Dorophy ,Sugar Iogurt Vodka,positive
Gina    ,Vine Abritos Sweet,negative
Alla    ,Water Cream Sugar,positive
Sophy   ,Water Fries Abritos,negative
Ann     ,Pepper Vodka Water,negative
Ann     ,Vodka Vine Kefir,positive
Ann     ,Water Beer Salo,negative
Dorophy ,Salt Bread Vodka,negative
Alla    ,Eris Milk Water,positive
Alla    ,Onion Milk Eris,positive
Alla    ,Bread Sweet Beer,negative
Ira     ,Onion Vine Bread,negative
Sophy   ,Sugar Milk Onion,positive
Hilary  ,Abritos Eris Sugar,negative
Gina    ,Beer Bread Water,negative
Hilary  ,Bananas Sugar Milk,positive
Filona  ,Onion Sweet Milk,positive
Hilary  ,Sugar Cream Onion,positive
Ira     ,Vine Fries Salt,negative
Alla    ,Kefir Pepper Onion,positive
Sophy   ,Bananas Eris Sugar,negative
Ann     ,Fries Milk Kefir,positive
Alla    ,Onion Vodka Pepper,negative
Filona  ,Cheese Iogurt Pepper,positive
Alla    ,Bread Cheese Bananas,positive
Emma    ,Cheese Vine Iogurt,positive
Ann     ,Bananas Vine Pepper,negative
Alla    ,Sweet Salo Fries,negative
Hilary  ,Bananas Bread Cigar,negative
Chloe   ,Iogurt Cream Pepper,positive
Alla    ,Vodka Abritos Onion,negative
Filona  ,Milk Vine Abritos,positive
Dorophy ,Salo Cheese Cream,positive
Filona  ,Bananas Sweet Vine,negative
Ann     ,Sweet Cream Water,positive
Chloe   ,Water Vodka Iogurt,positive
Sophy   ,Cigar Eris Cream,positive
Sophy   ,Cheese Water Bananas,positive
Hilary  ,Vine Sweet Cream,positive
Filona  ,Salo Pepper Vodka,negative
Chloe   ,Sugar Bread Salo,negative
Emma    ,Bread Kefir Bananas,positive
Sophy   ,Water Fries Cigar,negative
Filona  ,Bananas Bread Cream,positive
Dorophy ,Iogurt Cigar Cream,positive
Filona  ,Cream Beer Pepper,positive
Ann     ,Cream Beer Bananas,positive
Dorophy ,Water Bread Cheese,positive
Gina    ,Cigar Bananas Beer,negative
Emma    ,Iogurt Abritos Kefir,positive
Dorophy ,Abritos Bread Onion,negative
Dorophy ,Vine Bananas Kefir,positive
Chloe   ,Salt Eris Pepper,negative
Emma    ,Water Sugar Cheese,positive
Ann     ,Fries Water Eris,negative
Sophy   ,Salt Beer Cigar,negative
Gina    ,Onion Abritos Sugar,negative
Hilary  ,Kefir Iogurt Milk,positive
Emma    ,Bananas Vine Beer,negative
Emma    ,Bananas Kefir Fries,positive
Ann     ,Salo Abritos Vodka,negative
Ann     ,Eris Salo Vine,negative
Gina    ,Fries Pepper Bread,negative
Emma    ,Cigar Abritos Cream,positive
Dorophy ,Pepper Eris Salt,negative
Emma    ,Salt Kefir Water,positive
Alla    ,Water Bread Abritos,negative
Ira     ,Water Cream Onion,positive
Hilary  ,Abritos Salt Bread,negative
Sophy   ,Salt Cigar Bread,negative
Ann     ,Salt Cheese Beer,positive
Ann     ,Abritos Iogurt Salo,positive
Sophy   ,Cigar Abritos Vodka,negative
Chloe   ,Eris Abritos Kefir,positive
Chloe   ,Bread Sweet Sugar,negative
Ira     ,Pepper Bananas Salt,negative
Alla    ,Milk Bananas Vine,positive
Sophy   ,Salo Bananas Abritos,negative
Emma    ,Salt Vodka Sweet,negative
Hilary  ,Fries Salo Kefir,positive
Ann     ,Cheese Abritos Vine,positive
Filona  ,Vodka Iogurt Salt,positive
Filona  ,Salt Sugar Bananas,negative
Filona  ,Cigar Bread Abritos,negative
Ira     ,Abritos Vine Sweet,negative
Emma    ,Sweet Iogurt Salo,positive
Chloe   ,Bananas Cigar Cheese,positive
Alla    ,Milk Cheese Salt,positive
Dorophy ,Cheese Fries Bananas,positive
Chloe   ,Fries Vodka Milk,positive
Emma    ,Salt Sweet Fries,negative
Emma    ,Onion Water Vodka,negative
Ira     ,Beer Iogurt Water,positive
Filona  ,Onion Cream Abritos,positive
Ann     ,Onion Milk Kefir,positive
Sophy   ,Salt Vine Beer,negative
Ira     ,Vine Salo Cigar,negative
Dorophy ,Cigar Vodka Pepper,negative
Alla    ,Bread Cigar Sugar,negative
Sophy   ,Iogurt Sugar Sweet,positive
Emma    ,Beer Bananas Milk,positive
Sophy   ,Cream Sweet Cheese,positive
Chloe   ,Abritos Vine Sugar,negative
Sophy   ,Cream Fries Abritos,positive
Chloe   ,Salt Milk Cheese,positive
Alla    ,Cigar Fries Bread,negative
Gina    ,Salt Vine Cheese,positive
Emma    ,Vodka Bread Vine,negative
Sophy   ,Kefir Salo Bread,positive
Sophy   ,Water Salt Sugar,negative
Gina    ,Vine Kefir Cream,positive
Ira     ,Beer Vodka Milk,positive
Hilary  ,Sweet Bread Cigar,negative
Ann     ,Bread Pepper Fries,negative
Sophy   ,Onion Bananas Vine,negative
Emma    ,Pepper Bread Fries,negative
Filona  ,Cigar Beer Sugar,negative
Filona  ,Cigar Pepper Beer,negative
Chloe   ,Milk Bread Abritos,positive
Alla    ,Iogurt Eris Cream,positive
Emma    ,Cream Milk Vodka,positive
Alla    ,Vodka Water Pepper,negative
Dorophy ,Milk Fries Cheese,positive
Sophy   ,Bananas Water Sweet,negative
Sophy   ,Sugar Bread Milk,positive
Hilary  ,Salt Milk Kefir,positive
Ira     ,Bread Iogurt Cream,positive
Hilary  ,Cigar Abritos Water,negative
Hilary  ,Cream Beer Pepper,positive
Dorophy ,Vine Sweet Salo,negative
Chloe   ,Vine Bananas Milk,positive
Ann     ,Pepper Cream Salt,positive
Gina    ,Milk Water Cream,positive
Sophy   ,Cheese Onion Sugar,positive
Hilary  ,Salt Eris Milk,positive
Gina    ,Onion Pepper Beer,negative
Sophy   ,Bananas Salo Beer,negative
Filona  ,Kefir Cheese Pepper,positive
Alla    ,Cream Salo Abritos,positive
Emma    ,Salt Fries Eris,negative
Chloe   ,Abritos Sugar Cream,positive
Filona  ,Sugar Vodka Cheese,positive
Alla    ,Eris Salt Cream,positive
Ira     ,Eris Water Beer,negative
Emma    ,Salt Bread Sweet,negative
Hilary  ,Iogurt Bananas Vodka,positive
Ira     ,Vine Kefir Abritos,positive
Hilary  ,Beer Sweet Bread,negative
Filona  ,Fries Cheese Beer,positive
Sophy   ,Abritos Water Eris,negative
Dorophy ,Kefir Cigar Cheese,positive
Ann     ,Salo Eris Water,negative
Chloe   ,Abritos Cheese Cigar,positive
Sophy   ,Bread Abritos Bananas,negative
Emma    ,Cheese Cigar Vodka,positive
Ann     ,Sugar Water Sweet,negative
Sophy   ,Fries Kefir Abritos,positive
Ann     ,Fries Bread Cigar,negative
Chloe   ,Eris Milk Water,positive
Emma    ,Milk Abritos Pepper,positive
Alla    ,Water Pepper Eris,negative
Ann     ,Bananas Fries Abritos,negative
Emma    ,Abritos Salt Kefir,positive
Gina    ,Eris Sweet Cream,positive
Dorophy ,Vine Onion Pepper,negative
Emma    ,Onion Cheese Sweet,positive
Hilary  ,Abritos Salt Pepper,negative
Gina    ,Kefir Beer Onion,positive
Emma    ,Salt Salo Kefir,positive
Filona  ,Water Bread Beer,negative
Dorophy ,Kefir Milk Cream,positive
Chloe   ,Eris Milk Cheese,positive
Gina    ,Iogurt Kefir Sugar,positive
Ann     ,Abritos Salt Cigar,negative
Hilary  ,Bananas Onion Beer,negative
Ira     ,Beer Abritos Sugar,negative
Alla    ,Cream Iogurt Vodka,positive
Ira     ,Sugar Eris Vodka,negative
Alla    ,Bread Cheese Fries,positive
Sophy   ,Kefir Cigar Cheese,positive
Dorophy ,Iogurt Sweet Salo,positive
Sophy   ,Onion Cream Vine,positive
Emma    ,Abritos Cigar Fries,negative
Ira     ,Iogurt Cream Eris,positive
Ira     ,Iogurt Milk Bananas,positive
Gina    ,Onion Cheese Salo,positive
Gina    ,Bread Sugar Milk,positive
Alla    ,Eris Cheese Pepper,positive
Emma    ,Eris Onion Sweet,negative
Filona  ,Pepper Vodka Vine,negative
Emma    ,Water Vodka Bread,negative
Chloe   ,Fries Bread Bananas,negative
Alla    ,Iogurt Eris Salo,positive
Ann     ,Vodka Onion Fries,negative
Sophy   ,Sweet Vodka Onion,negative
Hilary  ,Cheese Kefir Salt,positive
Sophy   ,Beer Cream Onion,positive
Filona  ,Sweet Vodka Bread,negative
Emma    ,Iogurt Sweet Vine,positive
Gina    ,Beer Salt Pepper,negative
Ira     ,Cream Fries Salo,positive
Hilary  ,Abritos Milk Sweet,positive
Ann     ,Bread Salo Vodka,negative
Ira     ,Salo Cream Kefir,positive
Ira     ,Kefir Fries Milk,positive
Emma    ,Vodka Beer Cheese,positive
Ira     ,Water Kefir Iogurt,positive
Gina    ,Vine Onion Bread,negative
Gina    ,Bananas Sugar Water,negative
Alla    ,Eris Water Abritos,negative
Dorophy ,Kefir Salt Beer,positive
Gina    ,Cream Sweet Bananas,positive
Filona  ,Bread Salo Sweet,negative
Gina    ,Kefir Cheese Bananas,positive
Alla    ,Cheese Abritos Sugar,positive
Dorophy ,Salo Pepper Bananas,negative
Gina    ,Salo Iogurt Milk,positive
Gina    ,Eris Cigar Iogurt,positive
Hilary  ,Vine Eris Milk,positive
Ira     ,Fries Eris Iogurt,positive
Gina    ,Cigar Vodka Iogurt,positive
Dorophy ,Salt Cigar Sweet,negative
Alla    ,Vodka Fries Salt,negative
Filona  ,Cream Vodka Bananas,positive
Emma    ,Cigar Bread Salt,negative
Gina    ,Cheese Salt Vine,positive
Chloe   ,Kefir Onion Sweet,positive
Hilary  ,Abritos Cigar Kefir,positive
Ann     ,Water Sweet Onion,negative
Filona  ,Cream Bread Cigar,positive
Alla    ,Onion Abritos Fries,negative
Ira     ,Milk Abritos Eris,positive
Ira     ,Onion Kefir Abritos,positive
Gina    ,Eris Cigar Pepper,negative
Sophy   ,Beer Sugar Sweet,negative
Filona  ,Eris Salt Fries,negative
Gina    ,Pepper Kefir Salt,positive
Gina    ,Kefir Vine Bananas,positive
Ira     ,Sugar Vine Milk,positive
Gina    ,Pepper Cigar Salo,negative
Ann     ,Sugar Bread Iogurt,positive
Filona  ,Iogurt Water Abritos,positive
Sophy   ,Cream Pepper Vine,positive
Hilary  ,Bread Sweet Beer,negative
Gina    ,Eris Vine Abritos,negative
Hilary  ,Fries Kefir Salo,positive
Dorophy ,Abritos Cream Onion,positive
Ira     ,Sweet Salt Eris,negative
Dorophy ,Cream Bread Salo,positive
Alla    ,Pepper Eris Water,negative
Ann     ,Pepper Onion Vine,negative
Emma    ,Vodka Sugar Pepper,negative
Filona  ,Salo Kefir Milk,positive
Alla    ,Bread Kefir Vodka,positive
Gina    ,Bananas Iogurt Cheese,positive
Ann     ,Sweet Abritos Fries,negative
